# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Mach number (​),Drag coefficient (​)
80.523,69576.088,1001.08,-9.624,1445581.733,3.482,0.489
80.573,69626.13,1000.599,-9.624,1445581.733,3.482,0.489
80.623,69676.148,1000.118,-9.623,1445581.733,3.481,0.49
80.673,69726.142,999.637,-9.623,1445581.733,3.48,0.49
80.723,69776.112,999.156,-9.623,1445581.733,3.48,0.491
80.773,69826.057,998.675,-9.623,1445581.733,3.479,0.492
80.823,69875.979,998.193,-9.623,1445581.733,3.479,0.492
80.873,69925.877,997.712,-9.622,1445581.733,3.478,0.493
80.923,69975.75,997.231,-9.622,1445581.733,3.478,0.494
80.973,70025.6,996.75,-9.622,1445581.733,3.477,0.494
81.023,70075.425,996.269,-9.622,1445581.733,3.476,0.495
81.073,70125.227,995.788,-9.622,1445581.733,3.476,0.496
81.123,70175.004,995.307,-9.621,1445581.733,3.475,0.496
81.173,70224.758,994.826,-9.621,1445581.733,3.475,0.497
81.223,70274.487,994.345,-9.621,1445581.733,3.474,0.498
81.273,70324.192,993.864,-9.621,1445581.733,3.473,0.498
81.323,70373.873,993.383,-9.621,1445581.733,3.473,0.499
81.373,70423.53,992.902,-9.621,1445581.733,3.472,0.5
81.423,70473.163,992.421,-9.62,1445581.733,3.472,0.5
81.473,70522.772,991.94,-9.62,1445581.733,3.471,0.501
81.523,70572.357,991.459,-9.62,1445581.733,3.47,0.502
81.573,70621.918,990.978,-9.62,1445581.733,3.47,0.502
81.623,70671.455,990.497,-9.62,1445581.733,3.469,0.503
81.673,70720.968,990.016,-9.619,1445581.733,3.469,0.504
81.723,70770.457,989.535,-9.619,1445581.733,3.468,0.504
81.773,70819.921,989.054,-9.619,1445581.733,3.468,0.505
81.823,70869.362,988.573,-9.619,1445581.733,3.467,0.506
81.873,70918.779,988.092,-9.619,1445581.733,3.466,0.506
81.923,70968.171,987.611,-9.618,1445581.733,3.466,0.507
81.973,71017.54,987.13,-9.618,1445581.733,3.465,0.508
82.023,71066.884,986.649,-9.618,1445581.733,3.464,0.509
82.073,71116.205,986.168,-9.618,1445581.733,3.463,0.509
82.123,71165.501,985.687,-9.618,1445581.733,3.462,0.51
82.173,71214.773,985.206,-9.618,1445581.733,3.462,0.511
82.223,71264.022,984.726,-9.617,1445581.733,3.461,0.512
82.273,71313.246,984.245,-9.617,1445581.733,3.46,0.512
82.323,71362.446,983.764,-9.617,1445581.733,3.459,0.513
82.373,71411.622,983.283,-9.617,1445581.733,3.458,0.514
82.423,71460.775,982.802,-9.617,1445581.733,3.458,0.515
82.473,71509.903,982.321,-9.616,1445581.733,3.457,0.515
82.523,71559.007,981.841,-9.616,1445581.733,3.456,0.516
82.573,71608.087,981.36,-9.616,1445581.733,3.455,0.517
82.623,71657.143,980.879,-9.616,1445581.733,3.454,0.518
82.673,71706.175,980.398,-9.616,1445581.733,3.453,0.518
82.723,71755.182,979.917,-9.616,1445581.733,3.452,0.519
82.773,71804.166,979.437,-9.615,1445581.733,3.451,0.52
82.823,71853.126,978.956,-9.615,1445581.733,3.45,0.521
82.873,71902.062,978.475,-9.615,1445581.733,3.449,0.522
82.923,71950.974,977.994,-9.615,1445581.733,3.449,0.522
82.973,71999.861,977.514,-9.615,1445581.733,3.448,0.523
83.023,72048.725,977.033,-9.614,1445581.733,3.447,0.524
83.073,72097.565,976.552,-9.614,1445581.733,3.446,0.525
83.123,72146.38,976.072,-9.614,1445581.733,3.445,0.526
83.173,72195.172,975.591,-9.614,1445581.733,3.444,0.526
83.223,72243.939,975.11,-9.614,1445581.733,3.444,0.527
83.273,72292.683,974.629,-9.614,1445581.733,3.443,0.528
83.323,72341.402,974.149,-9.613,1445581.733,3.442,0.529
83.373,72390.098,973.668,-9.613,1445581.733,3.441,0.53
83.423,72438.769,973.187,-9.613,1445581.733,3.44,0.531
83.473,72487.416,972.707,-9.613,1445581.733,3.439,0.531
83.523,72536.04,972.226,-9.613,1445581.733,3.438,0.532
83.573,72584.639,971.746,-9.613,1445581.733,3.437,0.533
83.623,72633.214,971.265,-9.612,1445581.733,3.436,0.534
83.673,72681.766,970.784,-9.612,1445581.733,3.436,0.535
83.723,72730.293,970.304,-9.612,1445581.733,3.435,0.535
83.773,72778.796,969.823,-9.612,1445581.733,3.434,0.536
83.823,72827.275,969.343,-9.612,1445581.733,3.433,0.537
83.873,72875.73,968.862,-9.611,1445581.733,3.432,0.538
83.923,72924.161,968.381,-9.611,1445581.733,3.431,0.539
83.973,72972.568,967.901,-9.611,1445581.733,3.43,0.54
84.023,73020.951,967.42,-9.611,1445581.733,3.429,0.541
84.073,73069.31,966.94,-9.611,1445581.733,3.428,0.541
84.123,73117.645,966.459,-9.611,1445581.733,3.427,0.542
84.173,73165.956,965.979,-9.61,1445581.733,3.426,0.543
84.223,73214.243,965.498,-9.61,1445581.733,3.425,0.544
84.273,73262.506,965.018,-9.61,1445581.733,3.425,0.545
84.323,73310.745,964.537,-9.61,1445581.733,3.424,0.546
84.373,73358.96,964.057,-9.61,1445581.733,3.423,0.547
84.423,73407.151,963.576,-9.61,1445581.733,3.422,0.548
84.473,73455.317,963.096,-9.609,1445581.733,3.421,0.548
84.523,73503.46,962.615,-9.609,1445581.733,3.42,0.549
84.573,73551.579,962.135,-9.609,1445581.733,3.419,0.55
84.623,73599.674,961.654,-9.609,1445581.733,3.418,0.551
84.673,73647.744,961.174,-9.609,1445581.733,3.417,0.552
84.723,73695.791,960.694,-9.609,1445581.733,3.417,0.553
84.773,73743.814,960.213,-9.608,1445581.733,3.416,0.554
84.823,73791.812,959.733,-9.608,1445581.733,3.415,0.555
84.873,73839.787,959.252,-9.608,1445581.733,3.414,0.556
84.923,73887.738,958.772,-9.608,1445581.733,3.413,0.557
84.973,73935.664,958.291,-9.608,1445581.733,3.412,0.557
85.023,73983.567,957.811,-9.608,1445581.733,3.411,0.558
85.073,74031.445,957.331,-9.607,1445581.733,3.41,0.559
85.123,74079.3,956.85,-9.607,1445581.733,3.409,0.56
85.173,74127.13,956.37,-9.607,1445581.733,3.408,0.561
85.223,74174.937,955.89,-9.607,1445581.733,3.407,0.562
85.273,74222.719,955.409,-9.607,1445581.733,3.407,0.563
85.323,74270.478,954.929,-9.607,1445581.733,3.406,0.564
85.373,74318.212,954.449,-9.606,1445581.733,3.405,0.565
85.423,74365.923,953.968,-9.606,1445581.733,3.404,0.566
85.473,74413.609,953.488,-9.606,1445581.733,3.403,0.567
85.523,74461.271,953.008,-9.606,1445581.733,3.402,0.568
85.573,74508.91,952.527,-9.606,1445581.733,3.401,0.569
85.623,74556.524,952.047,-9.606,1445581.733,3.4,0.57
85.673,74604.115,951.567,-9.605,1445581.733,3.399,0.571
85.723,74651.681,951.087,-9.605,1445581.733,3.398,0.572
85.773,74699.223,950.606,-9.605,1445581.733,3.397,0.573
85.823,74746.742,950.126,-9.605,1445581.733,3.396,0.573
85.873,74794.236,949.646,-9.605,1445581.733,3.395,0.574
85.923,74841.706,949.166,-9.605,1445581.733,3.394,0.575
85.973,74889.152,948.685,-9.604,1445581.733,3.393,0.576
86.023,74936.575,948.205,-9.604,1445581.733,3.392,0.577
86.073,74983.973,947.725,-9.604,1445581.733,3.391,0.578
86.123,75031.347,947.245,-9.604,1445581.733,3.391,0.579
86.173,75078.697,946.765,-9.604,1445581.733,3.39,0.58
86.223,75126.024,946.285,-9.604,1445581.733,3.389,0.581
86.273,75173.326,945.804,-9.603,1445581.733,3.388,0.582
86.323,75220.604,945.324,-9.603,1445581.733,3.387,0.583
86.373,75267.858,944.844,-9.603,1445581.733,3.386,0.584
86.423,75315.088,944.364,-9.603,1445581.733,3.385,0.585
86.473,75362.295,943.884,-9.603,1445581.733,3.384,0.586
86.523,75409.477,943.404,-9.603,1445581.733,3.383,0.587
86.573,75456.635,942.923,-9.602,1445581.733,3.382,0.589
86.623,75503.769,942.443,-9.602,1445581.733,3.381,0.59
86.673,75550.879,941.963,-9.602,1445581.733,3.381,0.591
86.723,75597.966,941.483,-9.602,1445581.733,3.38,0.592
86.773,75645.028,941.003,-9.602,1445581.733,3.379,0.593
86.823,75692.066,940.523,-9.602,1445581.733,3.378,0.594
86.873,75739.08,940.043,-9.601,1445581.733,3.377,0.595
86.923,75786.07,939.563,-9.601,1445581.733,3.376,0.596
86.973,75833.036,939.083,-9.601,1445581.733,3.375,0.597
87.023,75879.978,938.603,-9.601,1445581.733,3.374,0.598
87.073,75926.897,938.123,-9.601,1445581.733,3.373,0.599
87.123,75973.791,937.643,-9.601,1445581.733,3.372,0.6
87.173,76020.661,937.163,-9.601,1445581.733,3.371,0.601
87.223,76067.507,936.683,-9.6,1445581.733,3.371,0.602
87.273,76114.329,936.203,-9.6,1445581.733,3.37,0.603
87.323,76161.127,935.723,-9.6,1445581.733,3.369,0.604
87.373,76207.901,935.243,-9.6,1445581.733,3.368,0.605
87.423,76254.651,934.763,-9.6,1445581.733,3.367,0.606
87.473,76301.378,934.283,-9.6,1445581.733,3.366,0.608
87.523,76348.08,933.803,-9.599,1445581.733,3.365,0.609
87.573,76394.758,933.323,-9.599,1445581.733,3.364,0.61
87.623,76441.412,932.843,-9.599,1445581.733,3.363,0.611
87.673,76488.042,932.363,-9.599,1445581.733,3.362,0.612
87.723,76534.648,931.883,-9.599,1445581.733,3.361,0.613
87.773,76581.23,931.403,-9.599,1445581.733,3.36,0.614
87.823,76627.789,930.923,-9.598,1445581.733,3.359,0.615
87.873,76674.323,930.443,-9.598,1445581.733,3.358,0.616
87.923,76720.833,929.963,-9.598,1445581.733,3.357,0.618
87.973,76767.319,929.483,-9.598,1445581.733,3.356,0.619
88.023,76813.781,929.003,-9.598,1445581.733,3.355,0.62
88.073,76860.219,928.523,-9.598,1445581.733,3.355,0.621
88.123,76906.634,928.044,-9.598,1445581.733,3.354,0.622
88.173,76953.024,927.564,-9.597,1445581.733,3.353,0.623
88.223,76999.39,927.084,-9.597,1445581.733,3.352,0.625
88.273,77045.732,926.604,-9.597,1445581.733,3.351,0.626
88.323,77092.05,926.124,-9.597,1445581.733,3.35,0.627
88.373,77138.345,925.644,-9.597,1445581.733,3.349,0.628
88.423,77184.615,925.164,-9.597,1445581.733,3.348,0.629
88.473,77230.861,924.685,-9.596,1445581.733,3.347,0.63
88.523,77277.083,924.205,-9.596,1445581.733,3.346,0.631
88.573,77323.281,923.725,-9.596,1445581.733,3.345,0.633
88.623,77369.456,923.245,-9.596,1445581.733,3.344,0.634
88.673,77415.606,922.765,-9.596,1445581.733,3.343,0.635
88.723,77461.732,922.286,-9.596,1445581.733,3.342,0.636
88.773,77507.835,921.806,-9.596,1445581.733,3.341,0.637
88.823,77553.913,921.326,-9.595,1445581.733,3.34,0.639
88.873,77599.967,920.846,-9.595,1445581.733,3.339,0.64
88.923,77645.998,920.367,-9.595,1445581.733,3.339,0.641
88.973,77692.004,919.887,-9.595,1445581.733,3.338,0.642
89.023,77737.986,919.407,-9.595,1445581.733,3.337,0.643
89.073,77783.945,918.927,-9.595,1445581.733,3.336,0.645
89.123,77829.879,918.448,-9.594,1445581.733,3.335,0.646
89.173,77875.789,917.968,-9.594,1445581.733,3.334,0.647
89.223,77921.676,917.488,-9.594,1445581.733,3.333,0.648
89.273,77967.538,917.009,-9.594,1445581.733,3.332,0.65
89.323,78013.377,916.529,-9.594,1445581.733,3.331,0.651
89.373,78059.191,916.049,-9.594,1445581.733,3.33,0.652
89.423,78104.981,915.569,-9.594,1445581.733,3.329,0.653
89.473,78150.748,915.09,-9.593,1445581.733,3.328,0.655
89.523,78196.49,914.61,-9.593,1445581.733,3.327,0.656
89.573,78242.209,914.13,-9.593,1445581.733,3.326,0.657
89.623,78287.904,913.651,-9.593,1445581.733,3.325,0.659
89.673,78333.574,913.171,-9.593,1445581.733,3.324,0.66
89.723,78379.221,912.692,-9.593,1445581.733,3.323,0.661
89.773,78424.843,912.212,-9.593,1445581.733,3.322,0.663
89.823,78470.442,911.732,-9.592,1445581.733,3.321,0.664
89.873,78516.016,911.253,-9.592,1445581.733,3.32,0.665
89.923,78561.567,910.773,-9.592,1445581.733,3.319,0.666
89.973,78607.094,910.293,-9.592,1445581.733,3.318,0.668
90.023,78652.596,909.814,-9.592,1445581.733,3.317,0.669
90.073,78698.075,909.334,-9.592,1445581.733,3.316,0.67
90.123,78743.53,908.855,-9.591,1445581.733,3.315,0.672
90.173,78788.961,908.375,-9.591,1445581.733,3.314,0.673
90.223,78834.367,907.896,-9.591,1445581.733,3.313,0.674
90.273,78879.75,907.416,-9.591,1445581.733,3.312,0.676
90.323,78925.109,906.937,-9.591,1445581.733,3.311,0.677
90.373,78970.444,906.457,-9.591,1445581.733,3.31,0.679
90.423,79015.755,905.977,-9.591,1445581.733,3.31,0.68
90.473,79061.042,905.498,-9.59,1445581.733,3.309,0.681
90.523,79106.304,905.018,-9.59,1445581.733,3.308,0.683
90.573,79151.543,904.539,-9.59,1445581.733,3.307,0.684
90.623,79196.758,904.059,-9.59,1445581.733,3.306,0.685
90.673,79241.949,903.58,-9.59,1445581.733,3.305,0.687
90.723,79287.116,903.1,-9.59,1445581.733,3.304,0.688
90.773,79332.259,902.621,-9.59,1445581.733,3.303,0.689
90.823,79377.378,902.141,-9.589,1445581.733,3.302,0.691
90.873,79422.474,901.662,-9.589,1445581.733,3.301,0.692
90.923,79467.545,901.183,-9.589,1445581.733,3.3,0.694
90.973,79512.592,900.703,-9.589,1445581.733,3.299,0.695
91.023,79557.615,900.224,-9.589,1445581.733,3.298,0.697
91.073,79602.614,899.744,-9.589,1445581.733,3.297,0.698
91.123,79647.589,899.265,-9.589,1445581.733,3.296,0.7
91.173,79692.541,898.785,-9.588,1445581.733,3.295,0.701
91.223,79737.468,898.306,-9.588,1445581.733,3.294,0.702
91.273,79782.371,897.827,-9.588,1445581.733,3.293,0.704
91.323,79827.251,897.347,-9.588,1445581.733,3.292,0.705
91.373,79872.106,896.868,-9.588,1445581.733,3.291,0.707
91.423,79916.937,896.388,-9.588,1445581.733,3.29,0.708
91.473,79961.745,895.909,-9.588,1445581.733,3.289,0.71
91.523,80006.528,895.43,-9.587,1445581.733,3.288,0.711
91.573,80051.288,894.95,-9.587,1445581.733,3.287,0.713
91.623,80096.023,894.471,-9.587,1445581.733,3.286,0.714
91.673,80140.735,893.992,-9.587,1445581.733,3.285,0.716
91.723,80185.422,893.512,-9.587,1445581.733,3.284,0.717
91.773,80230.086,893.033,-9.587,1445581.733,3.283,0.719
91.823,80274.726,892.554,-9.587,1445581.733,3.282,0.72
91.873,80319.341,892.074,-9.586,1445581.733,3.281,0.722
91.923,80363.933,891.595,-9.586,1445581.733,3.28,0.723
91.973,80408.501,891.116,-9.586,1445581.733,3.279,0.725
92.023,80453.045,890.636,-9.586,1445581.733,3.278,0.727
92.073,80497.565,890.157,-9.586,1445581.733,3.277,0.728
92.123,80542.06,889.678,-9.586,1445581.733,3.276,0.73
92.173,80586.532,889.198,-9.586,1445581.733,3.275,0.731
92.223,80630.98,888.719,-9.585,1445581.733,3.274,0.733
92.273,80675.404,888.24,-9.585,1445581.733,3.273,0.734
92.323,80719.804,887.761,-9.585,1445581.733,3.272,0.736
92.373,80764.18,887.281,-9.585,1445581.733,3.271,0.737
92.423,80808.532,886.802,-9.585,1445581.733,3.27,0.739
92.473,80852.86,886.323,-9.585,1445581.733,3.269,0.741
92.523,80897.165,885.844,-9.585,1445581.733,3.268,0.742
92.573,80941.445,885.364,-9.584,1445581.733,3.267,0.744
92.623,80985.701,884.885,-9.584,1445581.733,3.266,0.746
92.673,81029.933,884.406,-9.584,1445581.733,3.265,0.747
92.723,81074.142,883.927,-9.584,1445581.733,3.264,0.749
92.773,81118.326,883.448,-9.584,1445581.733,3.263,0.751
92.823,81162.486,882.968,-9.584,1445581.733,3.262,0.752
92.873,81206.623,882.489,-9.584,1445581.733,3.261,0.754
92.923,81250.735,882.01,-9.583,1445581.733,3.26,0.756
92.973,81294.824,881.531,-9.583,1445581.733,3.259,0.757
93.023,81338.888,881.052,-9.583,1445581.733,3.258,0.758
93.073,81382.929,880.573,-9.583,1445581.733,3.257,0.758
93.123,81426.946,880.093,-9.583,1445581.733,3.256,0.759
93.173,81470.938,879.614,-9.583,1445581.733,3.255,0.759
93.223,81514.907,879.135,-9.583,1445581.733,3.254,0.759
93.273,81558.852,878.656,-9.582,1445581.733,3.253,0.759
93.323,81602.773,878.177,-9.582,1445581.733,3.252,0.759
93.373,81646.67,877.698,-9.582,1445581.733,3.251,0.759
93.423,81690.543,877.219,-9.582,1445581.733,3.25,0.759
93.473,81734.392,876.74,-9.582,1445581.733,3.249,0.76
93.523,81778.217,876.261,-9.582,1445581.733,3.248,0.76
93.573,81822.018,875.782,-9.582,1445581.733,3.247,0.76
93.623,81865.795,875.302,-9.581,1445581.733,3.246,0.76
93.673,81909.548,874.823,-9.581,1445581.733,3.245,0.76
93.723,81953.277,874.344,-9.581,1445581.733,3.244,0.76
93.773,81996.982,873.865,-9.581,1445581.733,3.243,0.76
93.823,82040.664,873.386,-9.581,1445581.733,3.242,0.761
93.873,82084.321,872.907,-9.581,1445581.733,3.241,0.761
93.923,82127.954,872.428,-9.581,1445581.733,3.24,0.761
93.973,82171.564,871.949,-9.58,1445581.733,3.239,0.761
94.023,82215.149,871.47,-9.58,1445581.733,3.238,0.761
94.073,82258.711,870.991,-9.58,1445581.733,3.237,0.761
94.123,82302.248,870.512,-9.58,1445581.733,3.236,0.762
94.173,82345.762,870.033,-9.58,1445581.733,3.235,0.762
94.223,82389.252,869.554,-9.58,1445581.733,3.234,0.762
94.273,82432.717,869.075,-9.58,1445581.733,3.233,0.762
94.323,82476.159,868.596,-9.579,1445581.733,3.231,0.762
94.373,82519.577,868.117,-9.579,1445581.733,3.23,0.762
94.423,82562.971,867.638,-9.579,1445581.733,3.229,0.762
94.473,82606.341,867.159,-9.579,1445581.733,3.228,0.763
94.523,82649.687,866.68,-9.579,1445581.733,3.227,0.763
94.573,82693.009,866.201,-9.579,1445581.733,3.226,0.763
94.623,82736.307,865.722,-9.579,1445581.733,3.225,0.763
94.673,82779.581,865.244,-9.579,1445581.733,3.224,0.763
94.723,82822.831,864.765,-9.578,1445581.733,3.223,0.763
94.773,82866.058,864.286,-9.578,1445581.733,3.222,0.764
94.823,82909.26,863.807,-9.578,1445581.733,3.221,0.764
94.873,82952.438,863.328,-9.578,1445581.733,3.22,0.764
94.923,82995.593,862.849,-9.578,1445581.733,3.219,0.764
94.973,83038.723,862.37,-9.578,1445581.733,3.218,0.764
95.023,83081.83,861.891,-9.578,1445581.733,3.217,0.764
95.073,83124.912,861.412,-9.577,1445581.733,3.216,0.764
95.123,83167.971,860.933,-9.577,1445581.733,3.215,0.765
95.173,83211.006,860.455,-9.577,1445581.733,3.214,0.765
95.223,83254.016,859.976,-9.577,1445581.733,3.213,0.765
95.273,83297.003,859.497,-9.577,1445581.733,3.212,0.765
95.323,83339.966,859.018,-9.577,1445581.733,3.211,0.765
95.373,83382.905,858.539,-9.577,1445581.733,3.21,0.765
95.423,83425.82,858.06,-9.576,1445581.733,3.209,0.766
95.473,83468.711,857.582,-9.576,1445581.733,3.207,0.766
95.523,83511.578,857.103,-9.576,1445581.733,3.206,0.766
95.573,83554.421,856.624,-9.576,1445581.733,3.205,0.766
95.623,83597.241,856.145,-9.576,1445581.733,3.204,0.766
95.673,83640.036,855.666,-9.576,1445581.733,3.203,0.766
95.723,83682.807,855.188,-9.576,1445581.733,3.202,0.766
95.773,83725.555,854.709,-9.576,1445581.733,3.201,0.767
95.823,83768.278,854.23,-9.575,1445581.733,3.2,0.767
95.873,83810.978,853.751,-9.575,1445581.733,3.199,0.767
95.923,83853.653,853.273,-9.575,1445581.733,3.198,0.767
95.973,83896.305,852.794,-9.575,1445581.733,3.197,0.767
96.023,83938.933,852.315,-9.575,1445581.733,3.196,0.767
96.073,83981.536,851.836,-9.575,1445581.733,3.195,0.767
96.123,84024.116,851.358,-9.575,1445581.733,3.194,0.768
96.173,84066.672,850.879,-9.574,1445581.733,3.193,0.768
96.223,84109.204,850.4,-9.574,1445581.733,3.192,0.768
96.273,84151.712,849.921,-9.574,1445581.733,3.191,0.768
96.323,84194.196,849.443,-9.574,1445581.733,3.19,0.768
96.373,84236.656,848.964,-9.574,1445581.733,3.189,0.768
96.423,84279.093,848.485,-9.574,1445581.733,3.188,0.769
96.473,84321.505,848.007,-9.574,1445581.733,3.187,0.769
96.523,84363.893,847.528,-9.574,1445581.733,3.186,0.769
96.573,84406.258,847.049,-9.573,1445581.733,3.185,0.769
96.623,84448.598,846.571,-9.573,1445581.733,3.184,0.769
96.673,84490.915,846.092,-9.573,1445581.733,3.182,0.769
96.723,84533.207,845.613,-9.573,1445581.733,3.181,0.77
96.773,84575.476,845.135,-9.573,1445581.733,3.179,0.77
96.823,84617.721,844.656,-9.573,1445581.733,3.178,0.77
96.873,84659.942,844.177,-9.573,1445581.733,3.176,0.77
96.923,84702.139,843.699,-9.572,1445581.733,3.174,0.771
96.973,84744.312,843.22,-9.572,1445581.733,3.173,0.771
97.023,84786.461,842.742,-9.572,1445581.733,3.171,0.771
97.073,84828.586,842.263,-9.572,1445581.733,3.169,0.771
97.123,84870.687,841.784,-9.572,1445581.733,3.168,0.772
97.173,84912.764,841.306,-9.572,1445581.733,3.166,0.772
97.223,84954.818,840.827,-9.572,1445581.733,3.165,0.772
97.273,84996.847,840.349,-9.572,1445581.733,3.163,0.772
97.323,85038.852,839.87,-9.571,1445581.733,3.161,0.773
97.373,85080.834,839.392,-9.571,1445581.733,3.16,0.773
97.423,85122.792,838.913,-9.571,1445581.733,3.158,0.773
97.473,85164.725,838.434,-9.571,1445581.733,3.157,0.773
97.523,85206.635,837.956,-9.571,1445581.733,3.155,0.774
97.573,85248.521,837.477,-9.571,1445581.733,3.153,0.774
97.623,85290.383,836.999,-9.571,1445581.733,3.152,0.774
97.673,85332.221,836.52,-9.571,1445581.733,3.15,0.774
97.723,85374.035,836.042,-9.57,1445581.733,3.148,0.775
97.773,85415.825,835.563,-9.57,1445581.733,3.147,0.775
97.823,85457.591,835.085,-9.57,1445581.733,3.145,0.775
97.873,85499.333,834.606,-9.57,1445581.733,3.144,0.775
97.923,85541.052,834.128,-9.57,1445581.733,3.142,0.776
97.973,85582.746,833.649,-9.57,1445581.733,3.14,0.776
98.023,85624.417,833.171,-9.57,1445581.733,3.138,0.776
98.073,85666.063,832.692,-9.57,1445581.733,3.137,0.776
98.123,85707.686,832.214,-9.569,1445581.733,3.135,0.777
98.173,85749.285,831.735,-9.569,1445581.733,3.134,0.777
98.223,85790.859,831.257,-9.569,1445581.733,3.132,0.777
98.273,85832.41,830.778,-9.569,1445581.733,3.13,0.777
98.323,85873.937,830.3,-9.569,1445581.733,3.129,0.778
98.373,85915.44,829.821,-9.569,1445581.733,3.127,0.778
98.423,85956.919,829.343,-9.569,1445581.733,3.125,0.778
98.473,85998.375,828.865,-9.569,1445581.733,3.124,0.778
98.523,86039.806,828.386,-9.568,1445581.733,3.122,0.779
98.573,86081.213,827.908,-9.568,1445581.733,3.121,0.779
98.623,86122.597,827.429,-9.568,1445581.733,3.119,0.779
98.673,86163.956,826.951,-9.568,1445581.733,3.117,0.779
98.723,86205.292,826.473,-9.568,1445581.733,3.116,0.78
98.773,86246.603,825.994,-9.568,1445581.733,3.114,0.78
98.823,86287.891,825.516,-9.568,1445581.733,3.112,0.78
98.873,86329.155,825.037,-9.568,1445581.733,3.111,0.78
98.923,86370.395,824.559,-9.568,1445581.733,3.109,0.781
98.973,86411.611,824.081,-9.567,1445581.733,3.107,0.781
99.023,86452.803,823.602,-9.567,1445581.733,3.106,0.781
99.073,86493.971,823.124,-9.567,1445581.733,3.104,0.781
99.123,86535.115,822.646,-9.567,1445581.733,3.103,0.782
99.173,86576.236,822.167,-9.567,1445581.733,3.101,0.782
99.223,86617.332,821.689,-9.567,1445581.733,3.1,0.782
99.273,86658.405,821.211,-9.567,1445581.733,3.098,0.782
99.323,86699.453,820.732,-9.567,1445581.733,3.096,0.783
99.373,86740.478,820.254,-9.566,1445581.733,3.095,0.783
99.423,86781.478,819.776,-9.566,1445581.733,3.093,0.783
99.473,86822.455,819.297,-9.566,1445581.733,3.091,0.783
99.523,86863.408,818.819,-9.566,1445581.733,3.09,0.784
99.573,86904.337,818.341,-9.566,1445581.733,3.088,0.784
99.623,86945.242,817.862,-9.566,1445581.733,3.086,0.784
99.673,86986.123,817.384,-9.566,1445581.733,3.085,0.784
99.723,87026.981,816.906,-9.566,1445581.733,3.083,0.785
99.773,87067.814,816.428,-9.565,1445581.733,3.082,0.785
99.823,87108.623,815.949,-9.565,1445581.733,3.08,0.785
99.873,87149.409,815.471,-9.565,1445581.733,3.078,0.785
99.923,87190.171,814.993,-9.565,1445581.733,3.077,0.786
99.973,87230.908,814.515,-9.565,1445581.733,3.075,0.786
100.023,87271.622,814.036,-9.565,1445581.733,3.073,0.786
100.073,87312.312,813.558,-9.565,1445581.733,3.072,0.786
100.123,87352.978,813.08,-9.565,1445581.733,3.07,0.787
100.173,87393.62,812.602,-9.564,1445581.733,3.068,0.787
100.223,87434.238,812.123,-9.564,1445581.733,3.067,0.787
100.273,87474.832,811.645,-9.564,1445581.733,3.065,0.787
100.323,87515.402,811.167,-9.564,1445581.733,3.063,0.788
100.373,87555.949,810.689,-9.564,1445581.733,3.062,0.788
100.423,87596.471,810.211,-9.564,1445581.733,3.06,0.788
100.473,87636.97,809.732,-9.564,1445581.733,3.059,0.788
100.523,87677.445,809.254,-9.564,1445581.733,3.057,0.789
100.573,87717.895,808.776,-9.563,1445581.733,3.056,0.789
100.623,87758.322,808.298,-9.563,1445581.733,3.054,0.789
100.673,87798.725,807.82,-9.563,1445581.733,3.052,0.789
100.723,87839.104,807.342,-9.563,1445581.733,3.051,0.79
100.773,87879.459,806.863,-9.563,1445581.733,3.049,0.79
100.823,87919.791,806.385,-9.563,1445581.733,3.047,0.79
100.873,87960.098,805.907,-9.563,1445581.733,3.046,0.79
100.923,88000.381,805.429,-9.563,1445581.733,3.044,0.791
100.973,88040.641,804.951,-9.563,1445581.733,3.043,0.791
101.023,88080.876,804.473,-9.562,1445581.733,3.041,0.791
101.073,88121.088,803.995,-9.562,1445581.733,3.039,0.791
101.123,88161.276,803.517,-9.562,1445581.733,3.038,0.792
101.173,88201.44,803.038,-9.562,1445581.733,3.036,0.792
101.223,88241.58,802.56,-9.562,1445581.733,3.034,0.792
101.273,88281.696,802.082,-9.562,1445581.733,3.033,0.793
101.323,88321.788,801.604,-9.562,1445581.733,3.031,0.793
101.373,88361.856,801.126,-9.562,1445581.733,3.03,0.793
101.423,88401.9,800.648,-9.561,1445581.733,3.028,0.793
101.473,88441.921,800.17,-9.561,1445581.733,3.027,0.794
101.523,88481.917,799.692,-9.561,1445581.733,3.025,0.794
101.573,88521.89,799.214,-9.561,1445581.733,3.023,0.794
101.623,88561.839,798.736,-9.561,1445581.733,3.022,0.794
101.673,88601.764,798.258,-9.561,1445581.733,3.02,0.795
101.723,88641.665,797.78,-9.561,1445581.733,3.018,0.795
101.773,88681.542,797.302,-9.561,1445581.733,3.017,0.795
101.823,88721.395,796.824,-9.56,1445581.733,3.015,0.795
101.873,88761.224,796.346,-9.56,1445581.733,3.013,0.796
101.923,88801.029,795.868,-9.56,1445581.733,3.011,0.796
101.973,88840.811,795.39,-9.56,1445581.733,3.01,0.796
102.023,88880.568,794.912,-9.56,1445581.733,3.008,0.796
102.073,88920.302,794.434,-9.56,1445581.733,3.007,0.797
102.123,88960.012,793.956,-9.56,1445581.733,3.005,0.797
102.173,88999.697,793.478,-9.56,1445581.733,3.003,0.797
102.223,89039.359,793,-9.56,1445581.733,3.002,0.797
